# X Y Z Label
497086.260 5419981.530 278.690 Shrub
497086.270 5419981.890 278.680 Shrub
497086.280 5419982.250 278.680 Shrub
497086.280 5419982.610 278.690 Shrub
497086.450 5419982.750 276.200 Shrub
497086.480 5419982.430 278.680 Shrub
497086.520 5419982.100 278.720 Powerline
497086.550 5419981.770 278.700 Shrub
497086.590 5419981.430 278.710 Shrub
497086.690 5419982.690 278.720 Shrub
497086.720 5419982.490 275.520 Powerline
497086.730 5419982.350 278.700 Powerline
497086.770 5419982.000 278.690 Powerline
497086.800 5419981.650 278.690 Powerline
497086.840 5419981.310 278.670 Powerline
497087.160 5419981.540 278.670 Powerline
497087.170 5419981.890 278.690 Powerline
497087.170 5419982.260 278.680 Powerline
497087.180 5419982.620 278.680 Powerline
497087.400 5419982.590 278.700 Powerline
497087.440 5419982.280 278.700 Powerline
497087.470 5419981.970 278.700 Roof
497087.510 5419981.660 278.700 Powerline
497087.530 5419981.550 278.690 Powerline
497087.540 5419981.340 278.690 Powerline
497087.540 5419981.900 278.660 Powerline
497087.550 5419982.240 278.660 Roof
497087.560 5419982.570 278.680 Powerline
497087.640 5419982.450 278.670 Roof
497087.680 5419982.120 278.680 Roof
497087.710 5419981.790 278.670 Powerline
497087.750 5419981.460 278.680 Roof
497088.290 5419982.690 275.400 Powerline
497088.330 5419982.350 275.350 Roof
497088.370 5419982.030 275.360 Roof
497088.410 5419981.690 275.330 Roof
497088.440 5419981.380 275.340 Roof
497088.580 5419981.600 275.310 Roof
497088.580 5419982.450 275.350 Powerline
497088.590 5419981.980 275.330 Roof
497088.600 5419982.350 275.340 Powerline
497088.610 5419982.730 275.360 Car
497088.620 5419982.100 275.350 Car
497088.660 5419981.750 275.350 Car
497088.700 5419981.410 275.330 Roof
497088.960 5419981.420 275.310 Powerline
497088.970 5419981.770 275.350 Car
497088.980 5419982.140 275.340 Car
497088.990 5419982.500 275.340 Powerline
497089.230 5419982.570 275.360 Car
497089.270 5419982.240 275.350 Powerline
497089.310 5419981.920 275.330 Powerline
497089.340 5419981.610 275.320 Powerline
497089.380 5419981.290 275.330 Powerline
497089.450 5419982.510 275.340 Powerline
497089.490 5419982.160 275.320 Roof
497089.530 5419981.830 275.320 Powerline
497089.560 5419981.490 275.320 Roof
497089.920 5419981.480 275.280 Roof
497089.920 5419981.860 275.290 Powerline
497089.930 5419982.230 275.280 Powerline
497089.940 5419982.590 275.300 Roof
497090.210 5419982.540 275.310 Roof
497090.250 5419982.230 275.300 Roof
497090.280 5419981.940 275.300 Powerline
497090.300 5419981.270 275.280 Roof
497090.300 5419981.640 275.280 Roof
497090.310 5419981.630 275.300 Powerline
497090.310 5419982.000 275.290 Powerline
497090.320 5419982.350 275.300 Powerline
497090.330 5419982.720 275.300 Powerline
497090.350 5419981.310 275.280 Powerline
497090.400 5419982.460 275.290 Powerline
497090.440 5419982.130 275.300 Powerline
497090.470 5419981.790 275.260 Car
497090.510 5419981.460 275.270 Powerline
497091.140 5419982.520 275.270 Powerline
497091.170 5419982.200 275.290 Powerline
497091.210 5419981.880 275.270 Car
497091.240 5419981.510 275.250 Powerline
497091.250 5419981.570 275.260 Powerline
497091.250 5419981.880 275.240 Powerline
497091.260 5419982.240 275.280 Powerline
497091.270 5419982.620 275.280 Powerline
497091.280 5419981.240 275.250 Powerline
497091.350 5419982.560 275.290 Powerline
497091.390 5419982.220 275.250 Powerline
497091.420 5419981.880 275.250 Powerline
497091.460 5419981.540 275.240 Powerline
497091.640 5419981.300 275.210 Powerline
497091.640 5419981.660 275.230 Car
497091.650 5419982.040 275.200 Powerline
497091.660 5419982.380 275.220 Powerline
497091.670 5419982.740 275.260 Roof
497092.040 5419982.610 275.240 Powerline
497092.080 5419982.280 275.240 Car
497092.110 5419981.960 275.220 Powerline
497092.150 5419981.630 275.230 Powerline
497092.190 5419981.290 275.190 Powerline
497092.290 5419982.510 275.210 Roof
497092.330 5419982.180 275.210 Shrub
497092.370 5419981.830 275.220 Car
497092.410 5419981.480 275.200 Shrub
497092.580 5419981.460 275.210 Powerline
497092.590 5419981.830 275.220 Shrub
497092.600 5419982.200 275.210 Shrub
497092.610 5419982.550 275.220 Shrub
497092.950 5419981.340 275.210 Roof
497092.950 5419981.670 275.210 Car
497092.960 5419982.020 275.220 Shrub
497092.970 5419982.370 275.220 Powerline
497092.970 5419982.610 275.250 Powerline
497092.970 5419982.700 275.230 Powerline
497093.010 5419982.270 275.240 Car
497093.050 5419981.920 275.230 Powerline
497093.090 5419981.570 275.230 Powerline
497093.120 5419981.230 275.230 Car
497093.210 5419982.700 275.230 Powerline
497093.240 5419982.360 275.240 Car
497093.280 5419982.000 275.220 Powerline
497093.320 5419981.640 275.210 Powerline
497093.360 5419981.290 275.200 Powerline
497093.890 5419982.660 275.250 Car
497093.920 5419981.340 275.210 Powerline
497093.920 5419981.710 275.230 Powerline
497093.920 5419982.350 275.280 Car
497093.940 5419982.090 275.240 Car
497093.940 5419982.480 275.240 Car
497093.960 5419982.040 275.280 Powerline
497093.990 5419981.710 275.240 Powerline
497094.030 5419981.400 275.260 Roof
497094.100 5419982.700 275.260 Roof
497094.140 5419982.360 275.250 Roof
497094.170 5419982.040 275.270 Roof
497094.210 5419981.700 275.250 Roof
497094.250 5419981.360 275.240 Roof
497094.330 5419981.410 275.250 Powerline
497094.330 5419981.780 275.230 Roof
497094.340 5419982.130 275.270 Roof
497094.350 5419982.500 275.250 Roof
497094.790 5419982.730 275.250 Powerline
497094.830 5419982.410 275.290 Car
497094.870 5419982.060 275.270 Powerline
497094.910 5419981.710 275.260 Powerline
497094.940 5419981.380 275.250 Powerline
497095.020 5419982.680 275.280 Powerline
497095.060 5419982.340 275.260 Powerline
497095.100 5419981.980 275.240 Car
497095.140 5419981.630 275.260 Powerline
497095.180 5419981.290 275.240 Powerline
497095.300 5419981.320 275.240 Powerline
497095.310 5419981.670 275.240 Powerline
497095.320 5419982.040 275.250 Car
497095.330 5419982.400 275.270 Powerline
497095.340 5419982.760 275.270 Powerline
497095.680 5419981.220 275.260 Powerline
497095.690 5419981.560 275.250 Powerline
497095.700 5419981.890 275.260 Car
497095.700 5419982.230 275.290 Powerline
497095.710 5419982.560 275.280 Powerline
497095.720 5419982.520 275.300 Roof
497095.760 5419982.170 275.280 Roof
497095.800 5419981.830 275.280 Roof
497095.840 5419981.500 275.290 Powerline
497095.940 5419982.690 275.280 Roof
497095.980 5419982.350 275.280 Car
497096.020 5419981.990 275.260 Powerline
497096.060 5419981.640 275.260 Roof
497096.100 5419981.300 275.260 Roof
497096.600 5419982.700 275.290 Powerline
497096.640 5419982.360 275.280 Powerline
497096.660 5419981.230 275.230 Roof
497096.670 5419981.600 275.250 Powerline
497096.660 5419980.860 275.220 Powerline
497096.650 5419980.490 275.240 Powerline
497096.640 5419980.110 275.250 Powerline
497096.630 5419979.750 275.190 Powerline
497096.250 5419979.890 275.210 Powerline
497096.210 5419980.240 275.220 Car
497096.170 5419980.580 275.220 Powerline
497096.130 5419980.950 275.260 Roof
497096.030 5419979.790 275.240 Roof
497095.990 5419980.140 275.260 Roof
497095.950 5419980.470 275.240 Roof
497095.910 5419980.810 275.270 Roof
497095.870 5419981.160 275.290 Roof
